Number of Rhode Island Residents Who Have Completed Primary Vaccine Series by Municipality of Residence and Week																																									
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry (RICAIR)																																									
Last updated:	10/27/2021																																								
																																									
NOTES: Data reflect the number of Rhode Island residents who have received two doses of either the Pfizer or Moderna vaccine, as well as people who have received the single dose Johnson & Johnson vaccine. Small numbers are shown as <5 in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																									
																																									
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	z.Pending info	Total
7/25/21-7/31/21	38	57	45	128	34	117	333	110	45	185	19	15	27	33	15	88	64	<5	54	44	15	87	79	139	38	344	31	1,123	33	23	53	68	22	32	267	22	111	74	198	20	4,234
8/1/21-8/7/21	48	36	56	113	33	137	367	133	46	229	23	8	24	25	16	103	92	<5	47	49	<5	77	103	152	20	330	58	1,090	21	47	73	78	32	22	292	26	98	78	173	10	4,371
8/8/21-8/14/21	64	57	66	110	31	165	394	148	48	181	35	11	47	27	8	168	119	7	61	40	14	69	95	174	58	448	47	1,155	31	54	60	80	37	21	328	28	129	83	192	33	4,923
8/15/21-8/21/21	58	92	69	166	35	183	467	181	67	246	41	20	49	36	25	205	130	6	40	48	21	91	117	180	65	463	76	1,152	34	48	101	127	49	37	433	28	190	110	201	15	5,702
8/22/21-8/28/21	52	60	86	151	49	197	549	184	54	243	31	27	39	54	13	212	115	13	67	54	<5	100	126	191	88	526	57	1,488	43	60	108	95	50	41	462	36	177	114	236	15	6,267
8/29/21-9/4/21	33	82	71	163	33	191	544	143	49	244	23	22	58	46	18	187	107	<5	67	47	<5	98	102	169	64	452	52	1,331	39	65	94	127	45	41	415	34	191	115	244	15	5,827
9/5/21-9/11/21	45	75	76	158	45	215	417	150	44	207	29	29	35	67	16	148	71	11	65	53	9	88	112	168	49	473	46	1,284	43	50	92	90	74	56	402	24	159	109	241	9	5,534
9/12/21-9/18/21	42	61	103	180	34	210	466	170	58	214	25	18	48	40	10	211	127	<5	69	33	8	92	96	208	55	491	69	1,392	31	50	85	67	44	49	453	24	161	106	208	38	5,849
9/19/21-9/25/21	43	65	79	142	30	189	504	162	51	296	29	18	65	38	13	167	106	<5	62	41	<5	102	98	207	55	484	65	1,443	30	54	87	82	40	39	419	26	173	82	248	15	5,856
9/26/21-10/2/21	39	85	65	150	25	196	470	145	67	221	33	11	43	39	16	203	71	<5	59	47	<5	101	107	232	44	515	52	1,371	46	69	84	58	25	52	417	24	164	86	213	11	5,661
10/3/21-10/9/21	33	45	57	71	28	136	326	129	22	165	23	6	35	18	12	129	87	<5	51	35	8	59	71	147	51	356	40	919	27	34	56	52	25	19	301	22	109	71	165	15	3,957
10/10/21-10/16/21	11	46	42	119	28	113	236	99	33	155	17	8	36	16	9	127	60	<5	41	35	<5	69	63	138	29	290	24	926	24	31	65	57	23	19	254	20	89	45	163	6	3,572
10/17/21-10/23/21	39	51	47	72	23	114	238	63	25	130	19	9	27	17	<5	102	43	6	35	26	0	69	62	90	31	272	34	889	21	32	47	52	18	37	254	16	83	59	142	33	3,330
