Rate of Rhode Island Residents Who Have Completed Primary Vaccine Series per 100,000 Population by Municipality of Residence and Week																																								
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry; US Census Bureau, 2018 American Community Survey 5-year population estimates																																								
Last updated:	10/27/2021																																							
																																								
NOTES: Rates based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																								
																																								
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	TOTAL
6/20/21-6/26/21	575	558	535	1,331	566	723	895	672	658	714	796	427	557	838	328	797	541	257	697	463	846	630	733	983	761	1,052	574	1,249	656	679	453	521	575	610	686	696	815	676	963	835
6/27/21-7/3/21	445	364	425	1,073	463	567	576	499	543	645	398	320	338	493	255	520	471	257	454	334	2,418	509	477	613	462	889	339	959	616	349	310	338	278	400	555	421	556	424	717	618
7/4/21-7/10/21	414	274	383	882	296	399	500	442	367	443	457	448	278	271	200	448	374	*	361	296	*	299	523	425	324	638	235	787	288	358	250	270	240	286	407	421	532	402	664	498
7/11/21-7/17/21	371	265	286	918	334	350	442	410	367	422	251	341	308	321	182	462	430	*	292	322	1,209	396	332	391	510	687	281	796	511	358	333	293	145	334	380	566	487	349	703	491
7/18/21-7/24/21	396	279	243	660	308	463	466	352	329	403	398	277	258	321	200	510	388	200	336	212	1,814	315	362	437	292	539	276	639	446	424	273	205	164	286	354	518	397	278	537	436
7/25/21-7/31/21	235	256	274	660	437	338	410	317	344	390	280	320	268	407	273	301	296	*	336	283	1,814	351	301	428	308	479	178	626	433	217	245	221	139	305	329	356	383	327	477	401
8/1/21-8/7/21	297	162	340	583	424	396	452	384	352	483	339	171	239	308	291	352	425	*	292	315	*	311	393	468	162	460	333	607	275	443	337	254	202	210	360	421	338	345	416	414
8/8/21-8/14/21	396	256	401	568	398	477	485	427	367	381	516	235	467	333	146	575	550	200	379	257	1,693	279	362	536	470	624	270	644	407	509	277	260	234	200	405	453	446	367	462	466
8/15/21-8/21/21	359	414	419	856	450	529	575	522	513	518	605	427	487	444	455	701	601	171	249	309	2,539	367	446	555	526	645	436	642	446	453	467	413	310	353	534	453	656	486	484	540
8/22/21-8/28/21	321	270	523	779	630	570	676	531	413	512	457	576	388	666	237	725	531	371	417	347	*	404	481	588	713	733	327	829	564	566	499	309	316	391	570	583	611	504	568	593
8/29/21-9/4/21	204	369	432	841	424	552	670	413	375	514	339	469	576	567	328	640	494	*	417	302	*	396	389	521	518	630	299	742	511	613	435	413	285	391	512	550	660	508	587	551
9/5/21-9/11/21	278	337	462	815	578	622	514	433	337	436	428	618	348	826	291	506	328	314	404	341	1,088	355	427	518	397	659	264	716	564	472	425	293	468	534	496	388	549	482	580	524
9/12/21-9/18/21	260	274	626	929	437	607	574	491	444	451	369	384	477	493	182	722	587	*	429	212	967	372	366	641	445	684	396	776	407	472	393	218	278	467	559	388	556	469	501	554
9/19/21-9/25/21	266	292	480	733	386	547	621	468	390	624	428	384	646	468	237	571	490	*	386	264	*	412	374	638	445	675	373	804	393	509	402	267	253	372	517	421	597	362	597	554
9/26/21-10/2/21	241	382	395	774	321	567	579	418	513	466	487	235	427	481	291	694	328	*	367	302	*	408	408	715	356	718	299	764	603	651	388	189	158	496	514	388	566	380	513	536
10/3/21-10/9/21	204	202	346	366	360	393	401	372	168	348	339	128	348	222	218	441	402	*	317	225	967	238	271	453	413	496	230	512	354	321	259	169	158	181	371	356	376	314	397	374
10/10/21-10/16/21	68	207	255	614	360	327	291	286	252	327	251	171	358	197	164	434	277	*	255	225	*	279	240	425	235	404	138	516	315	292	301	185	145	181	313	324	307	199	392	338
10/17/21-10/23/21	241	229	286	371	296	330	293	182	191	274	280	192	268	210	*	349	199	171	218	167	0	279	237	277	251	379	195	495	275	302	217	169	114	353	313	259	287	261	342	315
