Rate of Rhode Island Residents Who Have Completed Primary Vaccine Series per 100,000 Population by Municipality of Residence and Week																																								
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry; US Census Bureau, 2018 American Community Survey 5-year population estimates																																								
Last updated:	10/20/2021																																							
																																								
NOTES: Rates based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																								
																																								
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	TOTAL
6/20/21-6/26/21	575	558	535	1,326	566	723	893	672	643	714	796	427	557	838	328	800	545	257	697	463	846	630	725	983	753	1,049	574	1,252	656	679	448	527	575	610	685	680	819	676	963	835
6/27/21-7/3/21	445	364	425	1,073	463	567	573	505	528	645	398	320	338	481	255	520	471	257	454	334	2,418	509	477	613	462	886	339	957	616	349	310	338	278	400	555	421	549	424	720	617
7/4/21-7/10/21	414	274	383	882	296	396	499	442	375	443	457	448	278	271	200	448	374	*	361	296	*	299	519	425	324	635	230	785	288	358	250	270	240	286	407	421	535	402	664	497
7/11/21-7/17/21	365	265	286	918	334	347	442	410	367	422	251	341	308	308	182	458	430	*	292	322	1,209	396	336	388	510	688	281	795	511	368	333	290	145	334	382	566	490	349	703	491
7/18/21-7/24/21	389	274	243	660	308	463	461	352	329	403	398	277	258	321	200	506	383	200	336	219	1,814	315	359	441	292	541	276	639	446	424	273	205	164	286	355	518	397	278	534	435
7/25/21-7/31/21	235	256	274	660	437	338	409	317	344	386	280	320	268	407	273	301	291	*	336	283	1,814	351	301	428	308	479	178	625	433	217	245	221	139	305	332	356	383	327	477	400
8/1/21-8/7/21	297	162	340	578	424	396	453	378	344	481	339	171	239	308	291	352	420	*	292	315	*	311	393	471	162	458	333	605	275	443	337	254	202	210	360	421	328	345	416	413
8/8/21-8/14/21	389	256	401	568	398	477	485	427	367	379	516	235	467	333	146	578	550	200	379	257	1,693	279	362	533	453	626	270	643	407	500	277	260	234	200	405	453	442	367	462	465
8/15/21-8/21/21	352	409	419	856	437	529	569	517	513	518	605	427	477	444	455	698	596	171	249	309	2,539	367	446	551	526	645	436	642	446	453	467	413	310	343	533	453	656	491	484	538
8/22/21-8/28/21	321	274	523	779	630	573	670	531	413	512	457	576	388	666	255	722	527	371	410	347	*	404	481	592	705	726	322	781	564	566	499	306	316	381	570	583	608	504	568	583
8/29/21-9/4/21	204	364	432	841	424	550	671	413	367	514	339	469	576	567	309	640	499	*	423	302	*	396	389	524	518	630	304	740	498	613	435	416	285	391	511	550	660	508	585	551
9/5/21-9/11/21	278	337	462	810	578	622	516	433	337	434	428	618	348	826	291	506	328	314	404	341	1,088	355	427	518	397	661	264	714	577	472	425	293	468	534	496	388	549	482	580	524
9/12/21-9/18/21	253	274	626	918	424	602	573	485	436	451	369	384	477	493	182	718	587	*	429	199	967	372	362	638	445	684	396	764	407	472	393	218	278	467	556	388	553	469	496	550
9/19/21-9/25/21	260	292	486	733	386	547	621	468	398	628	428	384	636	468	237	571	485	*	386	257	*	408	374	635	445	673	373	802	393	509	398	270	253	372	517	421	597	362	597	553
9/26/21-10/2/21	241	382	395	774	321	567	578	416	513	466	487	235	427	481	291	694	328	*	367	302	*	408	408	715	356	718	293	758	603	641	388	185	158	496	511	388	566	385	515	534
10/3/21-10/9/21	204	202	346	371	360	393	399	372	161	346	339	128	348	222	218	441	402	*	311	225	967	230	275	447	413	492	224	509	354	321	259	169	158	181	370	356	376	314	397	373
10/10/21-10/16/21	68	198	231	578	347	315	276	277	245	310	221	171	328	185	164	414	273	*	230	225	*	258	229	419	235	393	126	497	288	292	296	179	133	162	290	324	297	190	371	323
